xInput,yInput1,yInput2
0.08,0.8322,0.834011169
0.1,0.7279,0.717944489
0.12,0.5848,0.609578559
0.14,0.5025,0.508656731
0.16,0.42,0.41493498
0.18,0.33,0.328181084
0.2,0.25,0.248173879
0.24,0.1284,0.107566077
0.28,0.005,-0.008461576
0.32,-0.1169,-0.101344421
0.36,-0.1746,-0.172395638
0.4,-0.2304,-0.222819721
0.44,-0.2428,-0.253724153
0.48,-0.2537,-0.266129551
0.52,-0.2514,-0.260978521
0.56,-0.2298,-0.239143411
0.6,-0.208,-0.201433123
0.64,-0.15,-0.148599121
0.68,-0.1,-0.081340745
0.72,-0.01,-0.000309919
0.76,0.1013,0.093884652
0.8,0.2021,0.200673747
0.82,0.2374,0.258623327
0.84,0.2849,0.319524288
0.86,0.3622,0.383315152
0.88,0.4487,0.44993634
0.9,0.5564,0.519330098
0.92,0.6241,0.59144042
